序号,1.身份,2.饮用频率,3.主要目的/场景,4.消费形式,5.最常购买来源,6.每月支出,7.影响因素-价格,7.影响因素-距离,7.影响因素-口味,7.影响因素-空间,7.影响因素-品牌影响力,8.联名活动影响,9.单杯心理价位,10.商战/红包反应,11.外卖无法送入反应,12.看重的硬性条件,13.期望的营业时间,14.最吸引的促销方式,15.健康/代餐需求,16.其他建议
139,校外人员,1-2 次,线下社交/组会讨论,线下自取（点单后步行至店取走）,附近商圈连锁品牌（如环球港、近铁等）,100-300 元,4,5,5,4,3,仅在有实用赠品（杯垫、贴纸、提袋）时考虑,10-20 元（主流连锁品牌）,有一定影响，领券后会倾向于选择该平台的店铺,步行去校门口取餐点自提（为了特定品牌或更低价格）,室内采光与通风情况,现有的常规营业时间（如 9:00-21:00）已足够,针对本校师生持有效证件（学生证 / 教工证）长期打折,基本不关注，只喝常规款咖啡,环球港的店人太多没法自习，希望能多一些安静的独立咖啡馆。
140,本科生,每天 1 次及以上,线下社交/组会讨论、课间/办公提神,线下自取（点单后步行至店取走）,附近商圈连锁品牌（如环球港、近铁等）,500 元以上,4,4,2,3,3,仅在有实用赠品（杯垫、贴纸、提袋）时考虑,10-20 元（主流连锁品牌）,极大刺激了消费，会因为领到大额券而特意下单,放弃本次购买,室内安静程度（背景音乐音量适中）,早晨 7:30 前开始营业（满足早八课提神需求）,加入该校区专属社群，定期领取大额优惠券,偶尔会尝试，但不是刚需,无
141,研究生（硕士/博士）,每天 1 次及以上,线下社交/组会讨论,线下自取（点单后步行至店取走）,校园周边沿街店铺（如枣阳路等步行可达区域）,100-300 元,5,5,3,5,2,仅在有实用赠品（杯垫、贴纸、提袋）时考虑,10 元以下（极致性价比）,有一定影响，领券后会倾向于选择该平台的店铺,放弃本次购买,充足的电源插座,现有的常规营业时间（如 9:00-21:00）已足够,加入该校区专属社群，定期领取大额优惠券,必须有相关选项，且经常购买,
142,本科生,3-5 次,图书馆/自习室长时间陪伴、搭配餐食（早餐或下午茶）、线下社交/组会讨论,线下自取（点单后步行至店取走）,校园周边沿街店铺（如枣阳路等步行可达区域）,100-300 元,4,4,2,3,2,仅在有实用赠品（杯垫、贴纸、提袋）时考虑,10-20 元（主流连锁品牌）,极大刺激了消费，会因为领到大额券而特意下单,步行去校门口取餐点自提（为了特定品牌或更低价格）,室内安静程度（背景音乐音量适中）,晚上 22:00 后继续营业（满足熬夜科研 / 赶 due 需求）,针对本校师生持有效证件（学生证 / 教工证）长期打折,偶尔会尝试，但不是刚需,无
143,本科生,每天 1 次及以上,搭配餐食（早餐或下午茶）、图书馆/自习室长时间陪伴,外卖配送（送至校门口或宿舍楼）,仅通过外卖平台跨区域点单（配送距离较远）,100 元以下,4,4,2,3,3,会增加好感，但最终仍取决于价格和口味,10 元以下（极致性价比）,有一定影响，领券后会倾向于选择该平台的店铺,直接购买校内步行最近的咖啡品牌 / 自动机,桌面高度与椅子舒适度（适合长时间码字）,早晨 7:30 前开始营业（满足早八课提神需求）,持续的 “开业前三天买一送一”,必须有相关选项，且经常购买,挺好的
144,校外人员,3-5 次,图书馆/自习室长时间陪伴、线下社交/组会讨论,线下自取（点单后步行至店取走）,校园周边沿街店铺（如枣阳路等步行可达区域）,100-300 元,4,3,5,4,3,仅在有实用赠品（杯垫、贴纸、提袋）时考虑,30 元以上（高端或特调咖啡）,有一定影响，领券后会倾向于选择该平台的店铺,步行去校门口取餐点自提（为了特定品牌或更低价格）,不在咖啡店学习或工作,晚上 22:00 后继续营业（满足熬夜科研 / 赶 due 需求）,提供针对校内师生的 “外卖免配送费” 活动,必须有相关选项，且经常购买,挺好的
145,本科生,1-2 次,图书馆/自习室长时间陪伴,外卖配送（送至校门口或宿舍楼）,仅通过外卖平台跨区域点单（配送距离较远）,100 元以下,5,5,3,4,2,基本不关注联名信息，只看产品本身,10-20 元（主流连锁品牌）,有一定影响，领券后会倾向于选择该平台的店铺,直接购买校内步行最近的咖啡品牌 / 自动机,充足的电源插座,晚上 22:00 后继续营业（满足熬夜科研 / 赶 due 需求）,持续的 “开业前三天买一送一”,偶尔会尝试，但不是刚需,
146,校外人员,3-5 次,搭配餐食（早餐或下午茶）、线下社交/组会讨论,堂食（在店内停留使用空间）,附近商圈连锁品牌（如环球港、近铁等）,500 元以上,4,3,4,4,5,仅在有实用赠品（杯垫、贴纸、提袋）时考虑,10-20 元（主流连锁品牌）,有一定影响，领券后会倾向于选择该平台的店铺,步行去校门口取餐点自提（为了特定品牌或更低价格）,室内安静程度（背景音乐音量适中）,现有的常规营业时间（如 9:00-21:00）已足够,针对本校师生持有效证件（学生证 / 教工证）长期打折,完全不需要,希望早八能早点开门，有时候赶早课买不到。
147,校外人员,3-5 次,课间/办公提神,堂食（在店内停留使用空间）,附近商圈连锁品牌（如环球港、近铁等）,500 元以上,4,3,4,4,5,基本不关注联名信息，只看产品本身,10-20 元（主流连锁品牌）,极大刺激了消费，会因为领到大额券而特意下单,直接购买校内步行最近的咖啡品牌 / 自动机,桌面高度与椅子舒适度（适合长时间码字）,现有的常规营业时间（如 9:00-21:00）已足够,针对本校师生持有效证件（学生证 / 教工证）长期打折,偶尔会尝试，但不是刚需,无
148,校外人员,每天 1 次及以上,图书馆/自习室长时间陪伴,线下自取（点单后步行至店取走）,校园周边沿街店铺（如枣阳路等步行可达区域）,300-500 元,2,3,5,5,3,会增加好感，但最终仍取决于价格和口味,10-20 元（主流连锁品牌）,极大刺激了消费，会因为领到大额券而特意下单,步行去校门口取餐点自提（为了特定品牌或更低价格）,室内安静程度（背景音乐音量适中）,早晨 7:30 前开始营业（满足早八课提神需求）,提供针对校内师生的 “外卖免配送费” 活动,完全不需要,挺好的
149,研究生（硕士/博士）,每天 1 次及以上,课间/办公提神,线下自取（点单后步行至店取走）,校园周边沿街店铺（如枣阳路等步行可达区域）,100 元以下,4,5,2,3,1,会增加好感，但最终仍取决于价格和口味,10-20 元（主流连锁品牌）,有一定影响，领券后会倾向于选择该平台的店铺,直接购买校内步行最近的咖啡品牌 / 自动机,桌面高度与椅子舒适度（适合长时间码字）,早晨 7:30 前开始营业（满足早八课提神需求）,针对本校师生持有效证件（学生证 / 教工证）长期打折,基本不关注，只喝常规款咖啡,挺好的
150,本科生,3-5 次,课间/办公提神、图书馆/自习室长时间陪伴、线下社交/组会讨论,线下自取（点单后步行至店取走）,校内经营点（食堂、教学楼内咖啡柜台 / 自动机等）,100-300 元,4,4,2,4,1,仅在有实用赠品（杯垫、贴纸、提袋）时考虑,10-20 元（主流连锁品牌）,有一定影响，领券后会倾向于选择该平台的店铺,直接购买校内步行最近的咖啡品牌 / 自动机,充足的电源插座,早晨 7:30 前开始营业（满足早八课提神需求）,持续的 “开业前三天买一送一”,偶尔会尝试，但不是刚需,
151,本科生,1-2 次,搭配餐食（早餐或下午茶）、图书馆/自习室长时间陪伴、课间/办公提神,线下自取（点单后步行至店取走）,校内经营点（食堂、教学楼内咖啡柜台 / 自动机等）,300-500 元,5,5,3,5,3,仅在有实用赠品（杯垫、贴纸、提袋）时考虑,10-20 元（主流连锁品牌）,极大刺激了消费，会因为领到大额券而特意下单,直接购买校内步行最近的咖啡品牌 / 自动机,室内采光与通风情况,现有的常规营业时间（如 9:00-21:00）已足够,提供针对校内师生的 “外卖免配送费” 活动,必须有相关选项，且经常购买,
152,本科生,1-2 次,线下社交/组会讨论,外卖配送（送至校门口或宿舍楼）,校园周边沿街店铺（如枣阳路等步行可达区域）,100-300 元,5,5,4,5,3,基本不关注联名信息，只看产品本身,20-30 元（精品店 / 社交空间）,极大刺激了消费，会因为领到大额券而特意下单,直接购买校内步行最近的咖啡品牌 / 自动机,充足的电源插座,晚上 22:00 后继续营业（满足熬夜科研 / 赶 due 需求）,持续的 “开业前三天买一送一”,偶尔会尝试，但不是刚需,
153,校外人员,1-2 次,课间/办公提神,堂食（在店内停留使用空间）,附近商圈连锁品牌（如环球港、近铁等）,100-300 元,3,5,4,4,5,仅在有实用赠品（杯垫、贴纸、提袋）时考虑,10-20 元（主流连锁品牌）,影响很小，只在本来就想喝的时候顺便寻找优惠,直接购买校内步行最近的咖啡品牌 / 自动机,桌面高度与椅子舒适度（适合长时间码字）,晚上 22:00 后继续营业（满足熬夜科研 / 赶 due 需求）,持续的 “开业前三天买一送一”,偶尔会尝试，但不是刚需,
154,研究生（硕士/博士）,3-5 次,图书馆/自习室长时间陪伴,线下自取（点单后步行至店取走）,附近商圈连锁品牌（如环球港、近铁等）,100-300 元,5,4,2,4,1,会增加好感，但最终仍取决于价格和口味,20-30 元（精品店 / 社交空间）,极大刺激了消费，会因为领到大额券而特意下单,步行去校门口取餐点自提（为了特定品牌或更低价格）,充足的电源插座,早晨 7:30 前开始营业（满足早八课提神需求）,针对本校师生持有效证件（学生证 / 教工证）长期打折,偶尔会尝试，但不是刚需,挺好的
155,本科生,1-2 次,搭配餐食（早餐或下午茶）、课间/办公提神,线下自取（点单后步行至店取走）,校园周边沿街店铺（如枣阳路等步行可达区域）,300-500 元,5,5,4,3,1,会增加好感，但最终仍取决于价格和口味,10-20 元（主流连锁品牌）,极大刺激了消费，会因为领到大额券而特意下单,直接购买校内步行最近的咖啡品牌 / 自动机,充足的电源插座,晚上 22:00 后继续营业（满足熬夜科研 / 赶 due 需求）,加入该校区专属社群，定期领取大额优惠券,基本不关注，只喝常规款咖啡,挺好的
156,校外人员,3-5 次,课间/办公提神,堂食（在店内停留使用空间）,校内经营点（食堂、教学楼内咖啡柜台 / 自动机等）,500 元以上,3,3,4,4,3,会增加好感，但最终仍取决于价格和口味,20-30 元（精品店 / 社交空间）,影响很小，只在本来就想喝的时候顺便寻找优惠,步行去校门口取餐点自提（为了特定品牌或更低价格）,室内安静程度（背景音乐音量适中）,晚上 22:00 后继续营业（满足熬夜科研 / 赶 due 需求）,持续的 “开业前三天买一送一”,基本不关注，只喝常规款咖啡,希望早八能早点开门，有时候赶早课买不到。
157,校外人员,每天 1 次及以上,线下社交/组会讨论,线下自取（点单后步行至店取走）,附近商圈连锁品牌（如环球港、近铁等）,300-500 元,4,5,4,5,5,只要有我喜欢的 IP，一定会去购买,10-20 元（主流连锁品牌）,极大刺激了消费，会因为领到大额券而特意下单,直接购买校内步行最近的咖啡品牌 / 自动机,充足的电源插座,现有的常规营业时间（如 9:00-21:00）已足够,加入该校区专属社群，定期领取大额优惠券,完全不需要,
158,研究生（硕士/博士）,每天 1 次及以上,搭配餐食（早餐或下午茶）、课间/办公提神,线下自取（点单后步行至店取走）,仅通过外卖平台跨区域点单（配送距离较远）,100-300 元,4,5,2,4,1,只要有我喜欢的 IP，一定会去购买,10-20 元（主流连锁品牌）,有一定影响，领券后会倾向于选择该平台的店铺,支付更高费用选择能送达校内楼栋的特殊配送,桌面高度与椅子舒适度（适合长时间码字）,周末及节假日保持全天候营业,提供针对校内师生的 “外卖免配送费” 活动,偶尔会尝试，但不是刚需,
159,校外人员,3-5 次,图书馆/自习室长时间陪伴,堂食（在店内停留使用空间）,附近商圈连锁品牌（如环球港、近铁等）,100-300 元,4,4,5,4,4,会增加好感，但最终仍取决于价格和口味,20-30 元（精品店 / 社交空间）,影响很小，只在本来就想喝的时候顺便寻找优惠,步行去校门口取餐点自提（为了特定品牌或更低价格）,不在咖啡店学习或工作,晚上 22:00 后继续营业（满足熬夜科研 / 赶 due 需求）,提供针对校内师生的 “外卖免配送费” 活动,基本不关注，只喝常规款咖啡,
160,本科生,1-2 次,搭配餐食（早餐或下午茶）,线下自取（点单后步行至店取走）,校园周边沿街店铺（如枣阳路等步行可达区域）,100 元以下,4,5,3,5,3,仅在有实用赠品（杯垫、贴纸、提袋）时考虑,10-20 元（主流连锁品牌）,有一定影响，领券后会倾向于选择该平台的店铺,直接购买校内步行最近的咖啡品牌 / 自动机,室内安静程度（背景音乐音量适中）,早晨 7:30 前开始营业（满足早八课提神需求）,加入该校区专属社群，定期领取大额优惠券,必须有相关选项，且经常购买,挺好的
161,本科生,1-2 次,搭配餐食（早餐或下午茶）、课间/办公提神、图书馆/自习室长时间陪伴,外卖配送（送至校门口或宿舍楼）,附近商圈连锁品牌（如环球港、近铁等）,100 元以下,5,5,2,4,3,仅在有实用赠品（杯垫、贴纸、提袋）时考虑,10 元以下（极致性价比）,无影响，依然根据个人口味偏好下单,步行去校门口取餐点自提（为了特定品牌或更低价格）,不在咖啡店学习或工作,现有的常规营业时间（如 9:00-21:00）已足够,提供针对校内师生的 “外卖免配送费” 活动,偶尔会尝试，但不是刚需,无
162,研究生（硕士/博士）,1-2 次,线下社交/组会讨论、图书馆/自习室长时间陪伴,线下自取（点单后步行至店取走）,附近商圈连锁品牌（如环球港、近铁等）,100-300 元,5,5,2,4,1,仅在有实用赠品（杯垫、贴纸、提袋）时考虑,20-30 元（精品店 / 社交空间）,有一定影响，领券后会倾向于选择该平台的店铺,直接购买校内步行最近的咖啡品牌 / 自动机,不在咖啡店学习或工作,晚上 22:00 后继续营业（满足熬夜科研 / 赶 due 需求）,持续的 “开业前三天买一送一”,完全不需要,千问的活动希望能多搞，学生党真的很需要优惠！
163,校外人员,每天 1 次及以上,图书馆/自习室长时间陪伴,线下自取（点单后步行至店取走）,附近商圈连锁品牌（如环球港、近铁等）,500 元以上,4,5,4,4,3,会增加好感，但最终仍取决于价格和口味,20-30 元（精品店 / 社交空间）,有一定影响，领券后会倾向于选择该平台的店铺,直接购买校内步行最近的咖啡品牌 / 自动机,室内安静程度（背景音乐音量适中）,早晨 7:30 前开始营业（满足早八课提神需求）,持续的 “开业前三天买一送一”,基本不关注，只喝常规款咖啡,
164,研究生（硕士/博士）,1-2 次,课间/办公提神、线下社交/组会讨论,堂食（在店内停留使用空间）,附近商圈连锁品牌（如环球港、近铁等）,100-300 元,4,5,4,3,1,仅在有实用赠品（杯垫、贴纸、提袋）时考虑,10-20 元（主流连锁品牌）,影响很小，只在本来就想喝的时候顺便寻找优惠,直接购买校内步行最近的咖啡品牌 / 自动机,充足的电源插座,早晨 7:30 前开始营业（满足早八课提神需求）,针对本校师生持有效证件（学生证 / 教工证）长期打折,偶尔会尝试，但不是刚需,
165,研究生（硕士/博士）,1-2 次,线下社交/组会讨论,外卖配送（送至校门口或宿舍楼）,校内经营点（食堂、教学楼内咖啡柜台 / 自动机等）,100-300 元,4,4,4,3,3,会增加好感，但最终仍取决于价格和口味,20-30 元（精品店 / 社交空间）,有一定影响，领券后会倾向于选择该平台的店铺,放弃本次购买,室内采光与通风情况,现有的常规营业时间（如 9:00-21:00）已足够,针对本校师生持有效证件（学生证 / 教工证）长期打折,必须有相关选项，且经常购买,无
166,研究生（硕士/博士）,3-5 次,搭配餐食（早餐或下午茶）、线下社交/组会讨论,堂食（在店内停留使用空间）,校园周边沿街店铺（如枣阳路等步行可达区域）,100-300 元,5,4,4,3,1,基本不关注联名信息，只看产品本身,30 元以上（高端或特调咖啡）,极大刺激了消费，会因为领到大额券而特意下单,步行去校门口取餐点自提（为了特定品牌或更低价格）,桌面高度与椅子舒适度（适合长时间码字）,现有的常规营业时间（如 9:00-21:00）已足够,提供针对校内师生的 “外卖免配送费” 活动,基本不关注，只喝常规款咖啡,无
167,本科生,1-2 次,课间/办公提神,线下自取（点单后步行至店取走）,校园周边沿街店铺（如枣阳路等步行可达区域）,100 元以下,4,4,4,4,1,会增加好感，但最终仍取决于价格和口味,10-20 元（主流连锁品牌）,极大刺激了消费，会因为领到大额券而特意下单,放弃本次购买,桌面高度与椅子舒适度（适合长时间码字）,晚上 22:00 后继续营业（满足熬夜科研 / 赶 due 需求）,持续的 “开业前三天买一送一”,必须有相关选项，且经常购买,无
168,研究生（硕士/博士）,3-5 次,图书馆/自习室长时间陪伴、线下社交/组会讨论,外卖配送（送至校门口或宿舍楼）,附近商圈连锁品牌（如环球港、近铁等）,100-300 元,5,5,4,4,1,仅在有实用赠品（杯垫、贴纸、提袋）时考虑,10-20 元（主流连锁品牌）,影响很小，只在本来就想喝的时候顺便寻找优惠,直接购买校内步行最近的咖啡品牌 / 自动机,桌面高度与椅子舒适度（适合长时间码字）,晚上 22:00 后继续营业（满足熬夜科研 / 赶 due 需求）,提供针对校内师生的 “外卖免配送费” 活动,完全不需要,
169,本科生,1-2 次,搭配餐食（早餐或下午茶）、线下社交/组会讨论,外卖配送（送至校门口或宿舍楼）,校园周边沿街店铺（如枣阳路等步行可达区域）,300-500 元,5,5,3,3,1,会增加好感，但最终仍取决于价格和口味,10 元以下（极致性价比）,影响很小，只在本来就想喝的时候顺便寻找优惠,直接购买校内步行最近的咖啡品牌 / 自动机,室内安静程度（背景音乐音量适中）,早晨 7:30 前开始营业（满足早八课提神需求）,提供针对校内师生的 “外卖免配送费” 活动,必须有相关选项，且经常购买,挺好的
170,研究生（硕士/博士）,1-2 次,课间/办公提神,外卖配送（送至校门口或宿舍楼）,校园周边沿街店铺（如枣阳路等步行可达区域）,500 元以上,5,4,4,5,3,会增加好感，但最终仍取决于价格和口味,10-20 元（主流连锁品牌）,有一定影响，领券后会倾向于选择该平台的店铺,步行去校门口取餐点自提（为了特定品牌或更低价格）,不在咖啡店学习或工作,晚上 22:00 后继续营业（满足熬夜科研 / 赶 due 需求）,加入该校区专属社群，定期领取大额优惠券,必须有相关选项，且经常购买,千问的活动希望能多搞，学生党真的很需要优惠！
171,校外人员,3-5 次,线下社交/组会讨论,线下自取（点单后步行至店取走）,校园周边沿街店铺（如枣阳路等步行可达区域）,300-500 元,2,5,5,5,5,基本不关注联名信息，只看产品本身,20-30 元（精品店 / 社交空间）,有一定影响，领券后会倾向于选择该平台的店铺,放弃本次购买,桌面高度与椅子舒适度（适合长时间码字）,早晨 7:30 前开始营业（满足早八课提神需求）,针对本校师生持有效证件（学生证 / 教工证）长期打折,偶尔会尝试，但不是刚需,希望早八能早点开门，有时候赶早课买不到。
172,校外人员,3-5 次,图书馆/自习室长时间陪伴、课间/办公提神,堂食（在店内停留使用空间）,附近商圈连锁品牌（如环球港、近铁等）,300-500 元,2,3,4,4,5,只要有我喜欢的 IP，一定会去购买,30 元以上（高端或特调咖啡）,有一定影响，领券后会倾向于选择该平台的店铺,步行去校门口取餐点自提（为了特定品牌或更低价格）,室内安静程度（背景音乐音量适中）,现有的常规营业时间（如 9:00-21:00）已足够,持续的 “开业前三天买一送一”,必须有相关选项，且经常购买,挺好的
173,研究生（硕士/博士）,3-5 次,课间/办公提神、图书馆/自习室长时间陪伴,堂食（在店内停留使用空间）,附近商圈连锁品牌（如环球港、近铁等）,300-500 元,5,4,3,4,3,仅在有实用赠品（杯垫、贴纸、提袋）时考虑,30 元以上（高端或特调咖啡）,有一定影响，领券后会倾向于选择该平台的店铺,直接购买校内步行最近的咖啡品牌 / 自动机,桌面高度与椅子舒适度（适合长时间码字）,晚上 22:00 后继续营业（满足熬夜科研 / 赶 due 需求）,针对本校师生持有效证件（学生证 / 教工证）长期打折,基本不关注，只喝常规款咖啡,无
174,本科生,每天 1 次及以上,搭配餐食（早餐或下午茶）、图书馆/自习室长时间陪伴、线下社交/组会讨论,线下自取（点单后步行至店取走）,仅通过外卖平台跨区域点单（配送距离较远）,300-500 元,4,5,3,3,2,仅在有实用赠品（杯垫、贴纸、提袋）时考虑,20-30 元（精品店 / 社交空间）,影响很小，只在本来就想喝的时候顺便寻找优惠,步行去校门口取餐点自提（为了特定品牌或更低价格）,充足的电源插座,早晨 7:30 前开始营业（满足早八课提神需求）,针对本校师生持有效证件（学生证 / 教工证）长期打折,偶尔会尝试，但不是刚需,无
175,校外人员,1-2 次,线下社交/组会讨论、图书馆/自习室长时间陪伴,堂食（在店内停留使用空间）,校园周边沿街店铺（如枣阳路等步行可达区域）,100-300 元,3,4,5,4,3,会增加好感，但最终仍取决于价格和口味,20-30 元（精品店 / 社交空间）,极大刺激了消费，会因为领到大额券而特意下单,步行去校门口取餐点自提（为了特定品牌或更低价格）,室内采光与通风情况,早晨 7:30 前开始营业（满足早八课提神需求）,针对本校师生持有效证件（学生证 / 教工证）长期打折,偶尔会尝试，但不是刚需,无
176,本科生,1-2 次,线下社交/组会讨论、搭配餐食（早餐或下午茶）、图书馆/自习室长时间陪伴,外卖配送（送至校门口或宿舍楼）,附近商圈连锁品牌（如环球港、近铁等）,100-300 元,5,4,2,3,1,基本不关注联名信息，只看产品本身,10-20 元（主流连锁品牌）,有一定影响，领券后会倾向于选择该平台的店铺,步行去校门口取餐点自提（为了特定品牌或更低价格）,充足的电源插座,早晨 7:30 前开始营业（满足早八课提神需求）,针对本校师生持有效证件（学生证 / 教工证）长期打折,偶尔会尝试，但不是刚需,
177,本科生,3-5 次,搭配餐食（早餐或下午茶）、线下社交/组会讨论,外卖配送（送至校门口或宿舍楼）,仅通过外卖平台跨区域点单（配送距离较远）,300-500 元,4,5,2,3,3,会增加好感，但最终仍取决于价格和口味,10-20 元（主流连锁品牌）,极大刺激了消费，会因为领到大额券而特意下单,支付更高费用选择能送达校内楼栋的特殊配送,充足的电源插座,晚上 22:00 后继续营业（满足熬夜科研 / 赶 due 需求）,持续的 “开业前三天买一送一”,偶尔会尝试，但不是刚需,
178,校外人员,每天 1 次及以上,图书馆/自习室长时间陪伴、搭配餐食（早餐或下午茶）,堂食（在店内停留使用空间）,附近商圈连锁品牌（如环球港、近铁等）,100-300 元,3,3,5,5,5,只要有我喜欢的 IP，一定会去购买,20-30 元（精品店 / 社交空间）,极大刺激了消费，会因为领到大额券而特意下单,步行去校门口取餐点自提（为了特定品牌或更低价格）,充足的电源插座,早晨 7:30 前开始营业（满足早八课提神需求）,持续的 “开业前三天买一送一”,偶尔会尝试，但不是刚需,挺好的
179,本科生,3-5 次,搭配餐食（早餐或下午茶）、图书馆/自习室长时间陪伴,外卖配送（送至校门口或宿舍楼）,仅通过外卖平台跨区域点单（配送距离较远）,100-300 元,5,4,4,3,3,会增加好感，但最终仍取决于价格和口味,10-20 元（主流连锁品牌）,有一定影响，领券后会倾向于选择该平台的店铺,步行去校门口取餐点自提（为了特定品牌或更低价格）,不在咖啡店学习或工作,现有的常规营业时间（如 9:00-21:00）已足够,针对本校师生持有效证件（学生证 / 教工证）长期打折,基本不关注，只喝常规款咖啡,挺好的
180,本科生,1-2 次,课间/办公提神、图书馆/自习室长时间陪伴,线下自取（点单后步行至店取走）,附近商圈连锁品牌（如环球港、近铁等）,100 元以下,5,5,3,3,3,基本不关注联名信息，只看产品本身,10-20 元（主流连锁品牌）,影响很小，只在本来就想喝的时候顺便寻找优惠,步行去校门口取餐点自提（为了特定品牌或更低价格）,室内采光与通风情况,早晨 7:30 前开始营业（满足早八课提神需求）,针对本校师生持有效证件（学生证 / 教工证）长期打折,偶尔会尝试，但不是刚需,挺好的
181,研究生（硕士/博士）,1-2 次,线下社交/组会讨论,线下自取（点单后步行至店取走）,校内经营点（食堂、教学楼内咖啡柜台 / 自动机等）,100-300 元,4,4,3,5,2,会增加好感，但最终仍取决于价格和口味,10-20 元（主流连锁品牌）,影响很小，只在本来就想喝的时候顺便寻找优惠,直接购买校内步行最近的咖啡品牌 / 自动机,充足的电源插座,晚上 22:00 后继续营业（满足熬夜科研 / 赶 due 需求）,针对本校师生持有效证件（学生证 / 教工证）长期打折,基本不关注，只喝常规款咖啡,
182,校外人员,3-5 次,搭配餐食（早餐或下午茶）,堂食（在店内停留使用空间）,附近商圈连锁品牌（如环球港、近铁等）,300-500 元,3,5,5,4,4,仅在有实用赠品（杯垫、贴纸、提袋）时考虑,20-30 元（精品店 / 社交空间）,有一定影响，领券后会倾向于选择该平台的店铺,步行去校门口取餐点自提（为了特定品牌或更低价格）,充足的电源插座,早晨 7:30 前开始营业（满足早八课提神需求）,持续的 “开业前三天买一送一”,基本不关注，只喝常规款咖啡,
183,校外人员,每天 1 次及以上,线下社交/组会讨论、搭配餐食（早餐或下午茶）,堂食（在店内停留使用空间）,校园周边沿街店铺（如枣阳路等步行可达区域）,300-500 元,2,5,5,4,5,只要有我喜欢的 IP，一定会去购买,20-30 元（精品店 / 社交空间）,有一定影响，领券后会倾向于选择该平台的店铺,放弃本次购买,室内采光与通风情况,晚上 22:00 后继续营业（满足熬夜科研 / 赶 due 需求）,针对本校师生持有效证件（学生证 / 教工证）长期打折,基本不关注，只喝常规款咖啡,
184,本科生,1-2 次,搭配餐食（早餐或下午茶）、线下社交/组会讨论、课间/办公提神,堂食（在店内停留使用空间）,校内经营点（食堂、教学楼内咖啡柜台 / 自动机等）,300-500 元,4,5,4,5,3,会增加好感，但最终仍取决于价格和口味,10-20 元（主流连锁品牌）,有一定影响，领券后会倾向于选择该平台的店铺,步行去校门口取餐点自提（为了特定品牌或更低价格）,室内采光与通风情况,晚上 22:00 后继续营业（满足熬夜科研 / 赶 due 需求）,针对本校师生持有效证件（学生证 / 教工证）长期打折,偶尔会尝试，但不是刚需,
